trabalhoCompletoEmCongresso	2012		PRINCÍPIO DA SOLIDARIEDADE: LEITURA ESTRUTURANTE DE DIREITO FUNDAMENTAL	XXI Encontro Nacional do CONPEDI/UFU	NASCIMENTO, L. M. B.; Ana Claudia Quaresma da Silva	Qualis nao identificado	XXI Encontro Nacional do CONPEDI/UFU
trabalhoCompletoEmCongresso	2012		Arquivos Setoriais: expensão das políticas arquivísticas na UFSM	Congresso Nacional de Arquivologia	Nascimento, M. A. ; STRONHSCHOEN, C. ; FLORES, D. ; Gomes, D. C. ; CARPES, FRANCIELE SIMON ; RETAMOSO, L. R. R. ; PAVESI, N. ; ILHA, R. ; BELLO, R. Z.	Qualis nao identificado	Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Análise de Redes Sociais e Dinâmica de Sistemas: possíveis contribuições	X Congreso Latinoamericano de Dinámica de Sistemas III Congreso Brasileño de Dinámica de Sistemas I Congreso Argentino de Dinámica de Sistemas	NASCIMENTO, Niraldo J	Qualis nao identificado	X Congreso Latinoamericano de Dinámica de Sistemas III Congreso Brasileño de Dinámica de Sistemas I Congreso Argentino de Dinámica de Sistemas
trabalhoCompletoEmCongresso	2012		Luis Buñuel	Luis Buñuel: o fantasma da liberdade	NAZARIO, Luiz	Qualis nao identificado	Luis Buñuel: o fantasma da liberdade
trabalhoCompletoEmCongresso	2012		Corpos Anômalos na sala de curiosidades: confronto entre memórias no interior de um muesu histórico. Letícia Borges Nedel (UFSC)	III Encontro INternacional de Ciências Sociais	NEDEL, L. B	Qualis nao identificado	III Encontro INternacional de Ciências Sociais
trabalhoCompletoEmCongresso	2012		Metodologia para análise, avaliação e reestruturação curricular de cursos de Arquivologia: a experiência do curso de Arquivologia da Escola de Ciência da Informação da Universidade Federal de Minas Gerais	V Congresso Nacional de Arquivologia	NEGREIROS, L. R. ; SILVA, W. A. ; ARREGUY, C. A. C.	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Caracterização de estéril argiloso da mineração para utilização como pozolana	56° CONGRESSO BRASILEIRO DE CERÂMICA	NETO, J. A. M. ; CASTRO NETO, F. V. ; KELES, J. G. ; RESENDE, D. S. ; BEZERRA, A. C. S. ; CLARET, A. M	Qualis nao identificado	56° CONGRESSO BRASILEIRO DE CERÂMICA
trabalhoCompletoEmCongresso	2012		Aprendizagem informal na rede de representantes de vendas de um laboratório farmacêutico	VI Encontro Nacional de Pesquisadores em Gestão Social	NOBREGA, T. C. B. ; JUNQUEIRA, L. A. P.	Qualis nao identificado	VI Encontro Nacional de Pesquisadores em Gestão Social
trabalhoCompletoEmCongresso	2012		Entre musicologia e performance: reflexões sobre documentos e fontes para uma história da interpretaçao musical	XXII Congresso da ANPPOM	NOGUEIRA, ISABEL PORTO; CERQUEIRA, Fábio Vergara	Qualis nao identificado	XXII Congresso da ANPPOM
trabalhoCompletoEmCongresso	2012		COOPERAÇÃO, COMPARTILHAMENTO E COLABORAÇÃO NA REDE DE BIBLIOTECAS E CENTROS DE INFORMAÇÃO EM ARTE NO ESTADO DO RIO DE JANEIRO ? REDARTE/RJ	XII ENANCIB	OLIVEIRA, C. B. ; CIANCONI, R. B.	Qualis nao identificado	XII ENANCIB
trabalhoCompletoEmCongresso	2012		Verificação da ocorrência de estudos sobre memória na produção científica da Ciência da Informação no Brasil (2006/2010)	XIII Encontro Nacional de Pesquisa em Ciência da Informação	OLIVEIRA, E. B	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação
trabalhoCompletoEmCongresso	2012		O acesso aberto à literatura científica e a licença Creative Commons segundo autores e editores no Brasil: um argumento e uma posição	ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO	OLIVEIRA, F. V. ; GOMES, Sandra Lucia Rebel	Qualis nao identificado	ENCONTRO NACIONAL DE PESQUISA EM CIÊNCIA DA INFORMAÇÃO
trabalhoCompletoEmCongresso	2012		Violência Sexual Infanto-juvenil e Violação de Direitos em Marituba no Estado do Pará e seus efeitos sobre as populações afrodescendentes do município	III Seminário Latino-Americano de Direitos Humanos	OLIVEIRA, I.C.N ; SOUZA, J. L. C.	Qualis nao identificado	III Seminário Latino-Americano de Direitos Humanos
trabalhoCompletoEmCongresso	2012		Violência Sexual Infanto-Juvenil, Violação aos Direitos Humanos em Marituba/PA e Seus Impactos no Agir Policial	6º Encontro do Fórum Brasileiro de Segurança Pública	OLIVEIRA, I.C.N ; SOUZA, J. L. C.	Qualis nao identificado	6º Encontro do Fórum Brasileiro de Segurança Pública
trabalhoCompletoEmCongresso	2012		Um estudo sobre políticas públicas para a ciência e tecnologia: a construção de indicadores no Estado de Pernambuco	XIII Encontro Nacional de Pesquisa em Ciência da Informação	OLIVEIRA, M. C. G.; FELL, André	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação
trabalhoCompletoEmCongresso	2012		Projetos aprovados pela Fundarpe: uma aproximada representação da memória documental e cultural do Estado: 2003-2009	XIII Encontro Nacional de Pesquisa em Ciência da Informação	OLIVEIRA, M. C. G.; OLIVEIRA, S.R. de.	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação
trabalhoCompletoEmCongresso	2012		O uso social da informação na preservação das manisfestações culturais: ações de política pública	III Seminário Internacional sobre olíticas Culturais	OLIVEIRA, M. C. G.; OLIVEIRA, S.R. de. ; AZEVEDO, H.	Qualis nao identificado	III Seminário Internacional sobre olíticas Culturais
trabalhoCompletoEmCongresso	2012		Memória das Organizações:implicações políticas	Seminário Memória das Organizações: entre o discurso e a prática	OLIVEIRA, M.C.G ; OLIVEIRA, M. C. G.	Qualis nao identificado	Seminário Memória das Organizações: entre o discurso e a prática
trabalhoCompletoEmCongresso	2012		Legislação de Proteção ao Patrimônio Cultural de Ciência e Tecnologia	XV Encontro Regional de História - ANPUH/RJ	OLIVEIRA, Pedro Louvain de Campos ; GRANATO, MARCUS	Qualis nao identificado	XV Encontro Regional de História - ANPUH/RJ
trabalhoCompletoEmCongresso	2012		Investigação do uso do Arquivo Municipal de São José do Norte: uma visão através dos funcionários das secretarias do município	V Congresso Nacional de Arquivologia	Oliveira, Wendel G. de ; BERTOTTI, Valéria Raquel ; MIRANDA, A. C. D.	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Diagnóstico do acervo do arquivo público da cidade de São José do Norte	1º Seminário de Ensino em Arquivologia do Rio Grande do Sul	Oliveira, Wendel G. de ; MACHADO, N. L. ; BERTOTTI, Valéria Raquel	Qualis nao identificado	1º Seminário de Ensino em Arquivologia do Rio Grande do Sul
trabalhoCompletoEmCongresso	2012		Asociación de Archivistas en Brasil en la década de 70	IV CONVENCION INTERNACIONAL DE ARCHIVISTAS	ORRICO, Evelyn Goyannes Dill ; SILVA, Eliezer Pires	Qualis nao identificado	IV CONVENCION INTERNACIONAL DE ARCHIVISTAS
trabalhoCompletoEmCongresso	2012		Discursos de memória do associativismo arquivístico brasileiro	V Congresso Nacional de Arquivologia	Evelyn Goyannes Dill Orrico ; SILVA, Eliezer Pires	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Identificação, organização e avaliação e partituras raras - manuscritos do músico paranaense José da Cruz (1897-1952)	XXII Congresso da ANPPOM (Associação Nacional de Pesquisa e Pós-Graduação em Música)	OTTO, T. P. ; GILLER, M. ; VERZONI, Marcelo	Qualis nao identificado	XXII Congresso da ANPPOM (Associação Nacional de Pesquisa e Pós-Graduação em Música)
trabalhoCompletoEmCongresso	2012		Identificação, organização e avaliação de partituras raras - manuscritos do músico paranaense José da Cruz	XXII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música	OTTO, T. P.; VERZONI, M. ; GILLER, M.	Qualis nao identificado	XXII Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música
trabalhoCompletoEmCongresso	2012		UMA INSPECTRICE FRANCESA E O SEU ARQUIVO PESSOAL: os contornos de uma pesquisa	V Congresso Internacional de Pesquisa (Auto) Biográfica	PACHECO, Dirceu Castilho	Qualis nao identificado	V Congresso Internacional de Pesquisa (Auto) Biográfica
trabalhoCompletoEmCongresso	2012		Manifestações de Obras Musicais: o uso do título uniforme	XIII ENANCIB	PACHECO, K. L. ; ALVARENGA, L.	Qualis nao identificado	XIII ENANCIB
trabalhoCompletoEmCongresso	2012		MORTALIDADE DE MICRO E PEQUENAS EMPRESAS:UM ESTUDO DO SEGMENTO EMPRESARIAL COM MAIOR REPRESENTATIVIDADE NO ÍNDICE DE EMPRESAS EXTINTAS NO MUNICÍPIO DE AUGUSTINÓPOLIS ? TO	Encontro Latinoamericano de Pós-graduação	PADILHA, G. L. ; TADEUCCI, M. S. R. ; CARNIELLO, M. F.	Qualis nao identificado	Encontro Latinoamericano de Pós-graduação
trabalhoCompletoEmCongresso	2012		Metodologia de Avaliação de livro didático: Língua Portuguesa como ponto de partida	II Reunião de Avaliação-Temas da Atualidade:Contribuições e Desafios da Avaliação	PADILHA, M. I. T. ; ELLIOT, Ligia Gomes	Qualis nao identificado	II Reunião de Avaliação-Temas da Atualidade:Contribuições e Desafios da Avaliação
trabalhoCompletoEmCongresso	2012		SUSTENTABILIDADE SOCIAL E A NOVA ADMINISTRAÇÃO PÚBLICA: BUSCA DA SOLUÇÃO SOCIAL	Encontro Latinoamericano de Pós-graduação	PAES, E. S. ; KAMIMURA, Q. P. ; CARNIELLO, M. F.	Qualis nao identificado	Encontro Latinoamericano de Pós-graduação
trabalhoCompletoEmCongresso	2012		O DESENVOLVIMENTO SUSTENTÁVEL E A DIVERSIDADE CULTURAL	Mostra de Pós-graduação da Unitau	PAIVA, M. P. V. ; CARNIELLO, M. F. ; OLIVEIRA, A. L.	Qualis nao identificado	Mostra de Pós-graduação da Unitau
trabalhoCompletoEmCongresso	2012		O fluxo de informação no processo de desenvolvimento de jogos eletrônicos	I Simpósio de Pesquisas em Games da UFSC	PASSOS, K. G. F. ; VARVAKIS, G.	Qualis nao identificado	I Simpósio de Pesquisas em Games da UFSC
trabalhoCompletoEmCongresso	2012		Centros de memória empresarial; acervos híbridos, interesses difusos - experiências na cidade de São Paulo	VII Seminário Nacional Centro de Memória Unicamp	PAZIN VITORIANO, Marcia C.C	Qualis nao identificado	VII Seminário Nacional Centro de Memória Unicamp
trabalhoCompletoEmCongresso	2012		O Discurso de/sobre a lei nº 12527 em duas materialidades: a lei e o jornal	V CNA Congresso Nacional de Arquivologia	PEDRAZZI, Fernanda Kieling	Qualis nao identificado	V CNA Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Considerações preliminares sobre as atitudes corporais das feministas no campo do patrimônio imaterial	I Congresso Internacional Interdisciplinar em Sociais e Humanidades (CONINTER)	PEREIRA, C. L. R. ; ORRICO, E. G. D.	Qualis nao identificado	I Congresso Internacional Interdisciplinar em Sociais e Humanidades (CONINTER)
trabalhoCompletoEmCongresso	2012		O papel das vozes no discurso jornalístico na construção da rede de sentidos sobre o aborto a partir da visita do Papa Bento XVI ao Brasil	XI Congresso Latino	PEREIRA, C. L. R. ; ORRICO, E. G. D.	Qualis nao identificado	XI Congresso Latino
trabalhoCompletoEmCongresso	2012		As práticas arquivisticas no contexto do Arquivo Geral da Universidade Federal da Paraíba (UFPB)	V Congresso Nacional de Arquivologia	PEREIRA, I. R. E. ; SANTOS, J. L. ; FRANCA, P. Z. P. ; BRITO, R. Z. L.	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Interface de Comunicação em Sistemas de E-procurement: O Caso do Software Social Preço Público	Simpósio Mineiro de Computação (SMC)	PEREIRA, J. ; BETTIO, Raphael W. de ; JULIANI, J. P. ; Douglas Paulesky Juliani ; RODRIGUES, A. F.	A2	SMC
trabalhoCompletoEmCongresso	2012		Núcleo de Arte Contemporânea da Paraíba da UFPB: a representação da informação para preservação da memória	XIII Encontro Nacional da Associação Nacional de Pesquisa e Pós-graduação em Ciência da Informação	PEREIRA, T.C. ; AZEVEDO NETTO, C. X.	Qualis nao identificado	XIII Encontro Nacional da Associação Nacional de Pesquisa e Pós-graduação em Ciência da Informação
trabalhoCompletoEmCongresso	2012		Modelagem de uma Base de Conhecimento para o Monitoramento de Ataques	Escola Regional de Redes de Computadores	PETRI, G. ; Ceolin Jr., T. ; NUNES, R. C. ; SANTOS, O. M.	Qualis nao identificado	Escola Regional de Redes de Computadores
trabalhoCompletoEmCongresso	2012		Monitorando Ataques com a Ferramenta Prelude	Encontro Anual de Tecnologia da Infomração	PETRI, G. ; Ceolin Jr., T. ; NUNES, R. C. ; SANTOS, O. M.	Qualis nao identificado	Encontro Anual de Tecnologia da Infomração
trabalhoCompletoEmCongresso	2012		O uso de metadados para a preservação de longo prazo de registros eletrônicos de saúde	Workshop de Informática Biomédica	PICONI, A. C. ; RICARTE, I. L. M.	B4	Workshop de Informática Médica
trabalhoCompletoEmCongresso	2012		Santa Catarina em número: visibilidade na Web of Science	XII Enancib	PINTO, A. L.; DUTRA, M.	Qualis nao identificado	XII Enancib
trabalhoCompletoEmCongresso	2012		Arquivometria: conceitos e aplicações	3º Encontro Brasileiro de Bibliometria e Cientometria	PINTO, A. L.; TOVAR-ALVARADO, A. V. ; BAHIA, M.E.S.	Qualis nao identificado	3º Encontro Brasileiro de Bibliometria e Cientometria
trabalhoCompletoEmCongresso	2012		Impacto da familiaridade com lésbicas nas atitudes e perceções dos estudantes de enfermagem	I Seminário Internacional ?Contributos da Psicologia em Contextos Educativos?	PINTO, D. ; NOGUEIRA, C. ; OLIVEIRA, João Manuel de	Qualis nao identificado	I Seminário Internacional ?Contributos da Psicologia em Contextos Educativos?
trabalhoCompletoEmCongresso	2012		O documento e os sistemas de pensamento: Enunciações de verdade e validações disciplinares	XIII Enancib	PRET, R. L. ; MURGUIA, Eduardo Ismael	Qualis nao identificado	XIII Enancib
trabalhoCompletoEmCongresso	2012		Definição do Comitê de Análise/Avaliação de Riscos Baseado em Competências	SEPROSUL ? Semana de Engenharia de Produção Sulamericana	Primão, A. P. ; NUNES, R. C. ; López, V. L. O.	Qualis nao identificado	SEPROSUL ? Semana de Engenharia de Produção Sulamericana
trabalhoCompletoEmCongresso	2012		Ascenção e Queda do Transporte Internacional de Passageiros no Rio de Janeiro	SEMITUR	Queiroz Neto ; BROCHADO, Marina Rodrigues	Qualis nao identificado	SEMITUR
trabalhoCompletoEmCongresso	2012		RESPONSABILIDADE SOCIAL DAS EMPRESAS: ESTUDO BIBLIOMÉTRICO	Encontro Latinoamericano de Pós-graduação	QUEIROZ, A. C. S. ; CARNIELLO, M. F. ; RICCI, F.	Qualis nao identificado	Encontro Latinoamericano de Pós-graduação
trabalhoCompletoEmCongresso	2012		Fatores Interpessoais no processo de produção de material didático em EaD	IV SEPEaD-Seminário de Pesquisa em EaD	RABELO, R. A. ; MARTINS, J. A. ; VARVAKIS, G.	Qualis nao identificado	IV SEPEaD-Seminário de Pesquisa em EaD
trabalhoCompletoEmCongresso	2012		O ENSINO DA SUSTENTABILIDADE: POLÍTICAS E PRÁTICAS NA EDUCAÇÃO SUPERIOR DE UMA INSTITUIÇÃO FEDERAL DE ENSINO	1o Forum Internacional Ecoinovar	REGIO, M. L. S. ; LUCCA, G. K. ; BICHUETI, R. S. ; ROSA, L. A. B. ; SCHUCH JUNIOR, V. F. ; GOMES, C. M.	Qualis nao identificado	1o Forum Internacional Ecoinovar
trabalhoCompletoEmCongresso	2012		Agentes Prisionais: percepções e conflitos e de profissão de risco	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil	REIS, J. F. G. ; SOUZA, J. L. C. ; CARDOSO, L.F.C ; BRITO, D. C.	Qualis nao identificado	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil
trabalhoCompletoEmCongresso	2012		Cinzas de Eucalipto processadas em compósitos cimentícios	XX CONGRESSO BRASILEIRO DE ENGENHARIA E CIÊNCIAS DOS MATERIAIS	RESENDE, D. S. ; RADISPIEL FILHO, H. ; BEZERRA, A. C. S. ; AGUILAR, M. T. P. ; CLARET, A. M	Qualis nao identificado	XX CONGRESSO BRASILEIRO DE ENGENHARIA E CIÊNCIAS DOS MATERIAIS
trabalhoCompletoEmCongresso	2012		A PATRIMONIALIZAÇÃO DO LEGADO DA CIA. NACIONAL DE ÁLCALIS	VI COLÓQUIO LATINOAMERICANO SOBRE RECUPERAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO INDUSTRIAL	RIBEIRO, Claudia MachadO ; GRANATO, Marcus	Qualis nao identificado	VI COLÓQUIO LATINOAMERICANO SOBRE RECUPERAÇÃO E PRESERVAÇÃO DO PATRIMÔNIO INDUSTRIAL
trabalhoCompletoEmCongresso	2012		A PATRIMONIALIZAÇÃO DE REMANESCENTES DO PROCESSO DE INDUSTRIALIZAÇÃO: O LEGADO DA CIA. NACIONAL DE ÁLCALIS	XIII Encontro Nacional de Pesquisa em Ciência da Informação	RIBEIRO, Claudia MachadO ; GRANATO, Marcus	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação
trabalhoCompletoEmCongresso	2012		Preservação digital da informação científica: Uma análise de risco em repositórios institucionais Brasilleiros	XIII Encontro Nacional de Pesquisa em Ciência da Informação- ENANCIB	Ribeiro, Fanny do Couto ; Galindo, Marcos	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação- ENANCIB
trabalhoCompletoEmCongresso	2012		FABRICAÇÃO DA INFORMAÇÃO: O FUTURO SE CO(I)NFORMA	XIII ENANCIB	RIBEIRO, Leila Beatriz ; ORRICO, Evelyn ; DODEBEI, Vera	Qualis nao identificado	XIII ENANCIB
trabalhoCompletoEmCongresso	2012		Avaliação da relevância clínica de evidências distribuídas eletronicamente	Congresso Brasileiro de Informática em Saúde	RICARTE, I. L. M.; GALVAO, M. C. B. ; GRAD, R. M. ; PLUYE, P.	Qualis nao identificado	Congresso Brasileiro de Informática em Saúde
trabalhoCompletoEmCongresso	2012		Paleografia na contemporaneidade e o ensino paleográfico frente às novas tecnologias	V Congresso Nacional de Arquivologia	RICHTER, E. I. S. ; FERREIRA, R. C.	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Paleografia na contemporaneidade e o ensino paleográfico frente às novas tecnologias	III Seminário Internacional de Gestão Educacional e VI Semana acadêmica do Curso de Especialização em Gestão Educacional - UFSM	RICHTER, E. I. S. ; FERREIRA, R. C.	Qualis nao identificado	III Seminário Internacional de Gestão Educacional e VI Semana acadêmica do Curso de Especialização em Gestão Educacional - UFSM
trabalhoCompletoEmCongresso	2012		Polícia e Controle Interno: a corregedoria da Polícia Federal no Estado do Pará	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil	ROCHA, C. ; SOUZA, J. L. C.	Qualis nao identificado	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil
trabalhoCompletoEmCongresso	2012		Lei Maria da Penha Frente a um dos Limites da sua Aplicabilidade	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil	ROCHA, M. G. G. ; SOUZA, J. L. C.	Qualis nao identificado	XV CISO - Encontro Norte e Nordeste de Ciências Sociais / Pré-Alas Brasil
trabalhoCompletoEmCongresso	2012		As Contradições da Lei Maria da Penha e a Ambivalência do Sistema Penal	3º Encontro da Região Norte da Sociedade Brasileira de Sociologia	ROCHA, M. G. G. ; SOUZA, J. L. C.	Qualis nao identificado	3º Encontro da Região Norte da Sociedade Brasileira de Sociologia
trabalhoCompletoEmCongresso	2012		Construção e Análise do inventário do patrimônio religioso paraibano: a informação como representação social	XIII Encontro Nacional da Associação Nacional de Pesquisa e Pós-graduação em Ciência da Informação	ROCHA, S. R. M. ; AZEVEDO NETTO, C. X.	Qualis nao identificado	XIII Encontro Nacional da Associação Nacional de Pesquisa e Pós-graduação em Ciência da Informação
trabalhoCompletoEmCongresso	2012		O domínio Cultura Amazônica à luz da organização e representação da informação	XIII Encontro Nacional de Pesquisa em Ciência da Informação.	RODRIGUES, A.L.C. ; SOUZA, R. F.	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação.
trabalhoCompletoEmCongresso	2012		Identificación: un modelo de investigación archivística acerca del órgano productor y su tipología documental	IV Convención Internacional de Archivistas - IV COINDEAR	RODRIGUES, Ana Célia	Qualis nao identificado	IV Convención Internacional de Archivistas - IV COINDEAR
trabalhoCompletoEmCongresso	2012		Evaluación de documentos en municipalidades de Brasil: aspectos teóricos y metodológicos	I Jornada Nacional de Archivos	RODRIGUES, Ana Célia	Qualis nao identificado	I Jornada Nacional de Archivos
trabalhoCompletoEmCongresso	2012		A FAMS e a política de gestão de documentos para a PM Santos: estudo de caso sobre a elaboração da tabela de temporalidade de documentos da Secretaria Municipal de Economia e Finanças	XVII Congresso Brasileiro de Arquivologia	RODRIGUES, Ana Célia.; GARCIA, N. D. P.	Qualis nao identificado	XVII Congresso Brasileiro de Arquivologia
trabalhoCompletoEmCongresso	2012		A UFSM no Projeto Rondon - Campus Avançado de Roraima: Descrição e Acesso ao Patrimônio Documental	V Congresso Nacional de Arquivologia - CNA	RODRIGUES, C. P. ; FLORES, D.	Qualis nao identificado	V Congresso Nacional de Arquivologia - CNA
trabalhoCompletoEmCongresso	2012		Elaboração de instrumentos de descrição arquivística no Departamento de Arquivo Geral (DAG/UFSM)	Congresso Nacional de Arquivologia	RODRIGUES, C. P. ; Gomes, D. C. ; RETAMOSO, L. R. R. ; Nascimento, M. A. ; CARPES, FRANCIELE SIMON	Qualis nao identificado	Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Aspectos Gerais Sobre Prestação de Contas: temporalidade de documentos públicos de arquivo vinculados à aprovação de contas	V Congresso Nacional de Arquivologia.	RODRIGUES, Domingos da Costa ; PEREIRA, T. ; OLIVEIRA, E. B. ; COLLETO, S. P. S.	Qualis nao identificado	V Congresso Nacional de Arquivologia.
trabalhoCompletoEmCongresso	2012		ALUNOS DO PROGRAMA MAIS EDUCAÇÃO NA REGIÃO METROPOLITANA DO ESTADO DO RIO DE JANEIRO: POLÍTICA FOCAL PARA UMA SITUAÇÃO UNIVERSAL?	XVI ENDIPE - Didática e Práticas de Ensino: Compromisso com a Escola Pública	ROSA, Alessandra Victor do Nascimento ; HORA, D. M. ; ALMEIDA, Érika Christina ; COELHO, L.M.C.C.	Qualis nao identificado	XVI ENDIPE - Didática e Práticas de Ensino: Compromisso com a Escola Pública
trabalhoCompletoEmCongresso	2012		Práticas da Gestão do Conhecimento Associadas as Capacidades Dinâmicas: o Caso da Maior Distribuidora de Energia do Norte-Nordeste Brasileiro	CIKI 2012	ROSSATO, J. ; SOUZA, L. L. C ; VARVAKIS, G.	Qualis nao identificado	CIKI 2012
trabalhoCompletoEmCongresso	2012		Capacidades Dinâmicas: Capacidade da Empresa de se Reconfigurar para Atender as Demandas do Mercado	CIKI 2012	ROSSATO, J. ; SOUZA, L. L. C ; VARVAKIS, G.	Qualis nao identificado	CIKI 2012
trabalhoCompletoEmCongresso	2012		Acoplamentos Estruturais em Contribuição ao Processo de Aprendizagem e de Formação da Memória Organizacional	Simpósio de Excelência em Gestão e Tecnologia	ROVER, Aires José; BRIGNOLI, J.	Qualis nao identificado	Simpósio de Excelência em Gestão e Tecnologia
trabalhoCompletoEmCongresso	2012		Desafios da arte contemporânea: proposta de uma crítica de processos criativos	X Congresso Internacional da Associação de Pesquisadores em Crítica Genética	SALLES, C. A	Qualis nao identificado	X Congresso Internacional da Associação de Pesquisadores em Crítica Genética
trabalhoCompletoEmCongresso	2012		Arquivos nos processos de criação contemporâneos	21º Encontro Naciaonal da ANPAP: vida e ficção / arte e fricção	SALLES, C. A	Qualis nao identificado	21º Encontro Naciaonal da ANPAP: vida e ficção / arte e fricção
trabalhoCompletoEmCongresso	2012		A UTILIZAÇÃO DE SOFTWARE LIVRE NA PRESERVAÇÃO DOCUMENTAL: EXPERIÊNCIA COM O ICA-AtoM	CONGRESSO INTERNACIONAL INTERDISCIPLINAR EM SOCIAIS E HUMANIDADES - CONINTER	SANTOS, A. G. ; FLORES, Daniel	Qualis nao identificado	CONGRESSO INTERNACIONAL INTERDISCIPLINAR EM SOCIAIS E HUMANIDADES - CONINTER
trabalhoCompletoEmCongresso	2012		A utilização de software livre na preservação documental: experiência com o ICA-AtoM	Congresso International Interdisciplinar em Sociais e Humanidades	SANTOS, A. G. ; FLORES, Daniel	Qualis nao identificado	Congresso International Interdisciplinar em Sociais e Humanidades
trabalhoCompletoEmCongresso	2012		Faculdade de Direito Clovis Bevilaqua: a descrição arquivística através do ICA-ATOM	V Congresso Nacional de Arquivologia - CNA	SANTOS, A. G. ; REIS, B. P. ; FLORES, D.	Qualis nao identificado	V Congresso Nacional de Arquivologia - CNA
trabalhoCompletoEmCongresso	2012		A política de arranjo para a preservação do patrimônio documental da Universidade Federal do Rio Grande-FURG	V CNA	Santos, Andrea Gonçalves dos ; SCHWARZBOLD, Karin Christine ; VIERO, T. V.	Qualis nao identificado	V CNA
trabalhoCompletoEmCongresso	2012		Controle Bibliográfico de Publicações Oficiais: uma Proposta para o Cenário Brasileiro	Seminário Nacional de Documentação e Informação Jurídica	SANTOS, C. J. O.; CAVALCANTE, R. S. ; GALVAO, A. I. C.	Qualis nao identificado	Seminário Nacional de Documentação e Informação Jurídica
trabalhoCompletoEmCongresso	2012		Colônia de pescadores (Z-23) de Bela Vista ? TO: análise da organização econômica e social	Encontro Latinoamericano de Pós-graduação	SANTOS, E. F. M. S. ; SILVA, J. L. G. ; CARNIELLO, M. F.	Qualis nao identificado	Encontro Latinoamericano de Pós-graduação
trabalhoCompletoEmCongresso	2012		O Processo de Aprendizagem Organizacional durante o Planejamento Estratégico em uma Universidade Pública Brasileira	XXXVI ENANPAD 2012	SANTOS, J. L. S. ; STEIL, A. V. ; VARVAKIS, G.	Qualis nao identificado	XXXVI ENANPAD 2012
trabalhoCompletoEmCongresso	2012		Caracterização de Serviço Intensivos em Conhecimento: compreendendo os gaps entre percepção de valor	CONVIBRA	SANTOS, J. L. S. ; VARVAKIS, G.	Qualis nao identificado	CONVIBRA
trabalhoCompletoEmCongresso	2012		Informação, Política e Governança Democrática: condições para a consecução de informações parlamentares na internet	XIII Encontro Nacional de Pesquisa em Ciência da Informação (XIII ENANCIB)	SANTOS, José Carlos Sales dos ; SILVA, Rubens R. G. da	Qualis nao identificado	XIII Encontro Nacional de Pesquisa em Ciência da Informação (XIII ENANCIB)
trabalhoCompletoEmCongresso	2012		A TEORIA E A ‖PRÁXIS‖ DAS TRÊS IDADES DOCUMENTAIS NA REALIDADE DAS MASSAS DOCUMENTAIS ACUMULADAS NOS ARQUIVOS BRASILEIROS	V Congresso Nacional de Arquivologia	SANTOS, K. P. P. ; ÁVILA, R. F.	Qualis nao identificado	V Congresso Nacional de Arquivologia
trabalhoCompletoEmCongresso	2012		Comunicação Digital na Gestão Pública dos Municípios da Região Metropolitana do Vale do Paraíba - SP, Brasil: Acesso à Informação, Transparência e Mecanismos de Participação	Seminário Internacional RII	SANTOS, M. J. ; CARNIELLO, M. F. ; OLIVEIRA, E. A. A. Q.	Qualis nao identificado	Seminário Internacional RII
trabalhoCompletoEmCongresso	2012		A pesquisa científica no Instituto Federal de Educação, Ciência e Tecnologia de São Paulo: a colaboração da divulgação científica	3º Congresso Cientifico da Semana Nacional de Ciência e Tecnologia do IFSP	SANTOS, M. P. ; COSTA, L. S. F.	Qualis nao identificado	3º Congresso Cientifico da Semana Nacional de Ciência e Tecnologia do IFSP
