artigoEmPeriodico	2018		Indexação automática de imagens na Web: novas tendências e desafios	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	GRACIOSO, L. S. ; SIMIONATO, A. C. ; MACHADO, L. M. O. ; SIMOES, M. G. M.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018	http://dx.doi.org/10.15210/rmr.v10i19.13333	Vila União dos Operários, Canoas, RS: luta por moradia e habitabilidade (1980-2014)	Revista Memória em Rede	GRAEBIN, CLEUSA MARIA GOMES; FIOROTTI, Ivo ; GRAEFF, Lucas	Qualis nao identificado	Revista Memória em Rede
artigoEmPeriodico	2018	http://dx.doi.org/10.19132/1808-5245242.12-36	Aspectos éticos da coautoria em publicações científicas	EM QUESTÃO (UFRGS. IMPRESSO)	HILÁRIO, CARLA MARA ; GRÁCIO, MARIA CLÁUDIA CABRINI ; GUIMARÃES, JOSÉ AUGUSTO CHAVES	C	Em Questão (UFRGS. Impresso)
artigoEmPeriodico	2018		Preservação digital de documentos arquivísticos e o Projeto de Lei 7.920/2017 sob a ótica da Ciência da Informação	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	HOTT, D.F.M.; CRUZ-RIASCOS, S. A.	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018	http://dx.doi.org/10.22201/iibi.24488321xe.2018.75.57944	Federico Birabén e sua proposta para a oficina bibliográfica brasileira. Aproximações e distanciamentos da documentação na América do Sul	Investigacion Bibliotecologica	JUVENCIO, C. H. ; RODRIGUES, G. M.	Qualis nao identificado	Investigacion Bibliotecologica
artigoEmPeriodico	2018		Homo Documentator: Suzanne Briet e a construção do Documentalista	Revista Brasileira de Biblioteconomia e Documentação (Online)	JUVÊNCIO, CARLOS HENRIQUE ; RODRIGUES, G. M.	C	Revista Brasileira de Biblioteconomia e Documentação (Impresso)
artigoEmPeriodico	2018		Longitudinality in Primary Health Care: a comparison between care models	REBEN - REVISTA BRASILEIRA DE ENFERMAGEM	KESSLER, M. ; DE LIMA, SUZINARA BEATRIZ SOARES ; WEILER, T. H. ; LOPES, L. F. D. ; FERRAZ, L. ; THUME, E.	Qualis nao identificado	REBEN - REVISTA BRASILEIRA DE ENFERMAGEM
artigoEmPeriodico	2018		Análise da relação do nível de educação financeira com os vieses comportamentais para universitários brasileiros	Desenvolve - Revista de Gestão do Unilasalle	KICH, T. G. F. ; LOPES, L. F. D. ; ALMEIDA, D. M. ; CORREA, J. S. ; TAVARES, T. O.	Qualis nao identificado	Desenvolve - Revista de Gestão do Unilasalle
artigoEmPeriodico	2018		Desenvolvimento regional e a expansão do ensino superior público: o caso da Universidade do Estado de Mato Grosso	Revista de Ensino, Educação e Ciências Humanas	LARA, J. C. ; CARNIELLO, M. F.	Qualis nao identificado	Revista de Ensino, Educação e Ciências Humanas
artigoEmPeriodico	2018		O USO DE FERRAMENTAS DE BUSCA E ACESSO A ARTIGOS ACADÊMICOS PELOS PESQUISADORES BRASILEIROS	Informacao & Sociedade-Estudos	LIBONATI, D. G. ; BENCHIMOL, A. C. ; BARROS, Thiago Henrique Bragato	Qualis nao identificado	Informacao & Sociedade-Estudos
artigoEmPeriodico	2018		Orientação e treinamento de pais: uma vivência clínica	Doxa: Revista Brasileira de Psicologia e Educação	LIMA, A. ; CARDOSO, ANA MARIA PEREIRA	Qualis nao identificado	Doxa: Revista Brasileira de Psicologia e Educação
artigoEmPeriodico	2018		BIBLIOTECAS PÚBLICAS DO RIO GRANDE DO SUL E O PATRIMÔNIO EDIFICADO: VALOR, NO FUNDO, SIMBÓLICO	P2P & Inovação	LIMA, Marcia H. T. de; VICENTE, L. P.	Qualis nao identificado	P2P & Inovação
artigoEmPeriodico	2018		Contributos da User Experience para a difusão de acervos arquivísticos: uma análise da interação do usuário com a base de dados SIAN	EM QUESTÃO	LOPES, B. C. M. ; SILVA, Eliezer Pires	Qualis nao identificado	EM QUESTÃO
artigoEmPeriodico	2018		As variações terminológicas no contexto dos arquivos pessoais: uma análise das denominações utilizadas por instituições públicas brasileiras	Encontros Bibli (UFSC)	LOPES, B. P. ; RODRIGUES, GEORGETE MEDLEG	Qualis nao identificado	Encontros Bibli (UFSC)
artigoEmPeriodico	2018		Repositórios Para Tecnologias Sociais De Área Rural Em Brasília	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO	LOPEZ, A. P. A.; ASSUMPÇÃO, Luiz C. F. de	Qualis nao identificado	REVISTA IBERO-AMERICANA DE CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018		Organização e descrição do arquivo de Roseni de Sena	MÚLTIPLOS OLHARES EM CIÊNCIA DA INFORMAÇÃO	MAGALHÃES, I. R. L. ; CAMPOS, José Francisco Guelfi	Qualis nao identificado	MÚLTIPLOS OLHARES EM CIÊNCIA DA INFORMAÇÃO
